asset_description,asset_abbreviation,can_be_connected,dbo_entity_type,ifc4_3,ifc2x3,is_ifc_default,ifc2x3_entity,ifc2x3_predefined_type,ifc4_3_entity,ifc4_3_predefined_type
ict equipment - power-over-ethernet network switch,POEETS,1,,IfcCommunicationsAppliance,IfcElectricAppliance,0,IfcElectricAppliance,,IfcCommunicationsAppliance,
ict equipment - software-defined networking controller,SDNC,1,,IfcCommunicationsAppliance,IfcElectricAppliance,0,IfcElectricAppliance,,IfcCommunicationsAppliance,
ict equipment - ups management system,UPSMS,1,,IfcCommunicationsAppliance,IfcElectricAppliance,0,IfcElectricAppliance,,IfcCommunicationsAppliance,
ict equipment - wi-fi router,WRTR,1,,IfcCommunicationsApplianceROUTER,IfcElectricAppliance,0,IfcElectricAppliance,,IfcCommunicationsAppliance,ROUTER
ict equipment - wireless access point,WAP,1,,IfcCommunicationsApplianceROUTER,IfcElectricAppliance,0,IfcElectricAppliance,,IfcCommunicationsAppliance,ROUTER
ict equipment - wireless lan controller,WLC,1,,IfcControllerPROGRAMMABLE,IfcController,0,IfcController,,IfcController,PROGRAMMABLE
impact protection device,IPD,0,,IfcImpactProtectionDevice,,1,,,IfcImpactProtectionDevice,
interceptor,INT,0,,IfcInterceptor,,1,,,IfcInterceptor,
interceptor,ITCP,0,,IfcInterceptor,IfcInterceptor,1,IfcInterceptor,,IfcInterceptor,
interceptor - cyclonic,ITCPC,0,,IfcInterceptorCYCLONIC,IfcInterceptorCYCLONIC,1,IfcInterceptor,CYCLONIC,IfcInterceptor,CYCLONIC
interceptor - grease,ITCPG,0,,IfcInterceptorGREASE,IfcInterceptorGREASE,1,IfcInterceptor,GREASE,IfcInterceptor,GREASE
interceptor - oil,ITCPO,0,,IfcInterceptorOIL,IfcInterceptorOIL,1,IfcInterceptor,OIL,IfcInterceptor,OIL
interceptor - petrol,ITCPP,0,,IfcInterceptorPETROL,IfcInterceptorPETROL,1,IfcInterceptor,PETROL,IfcInterceptor,PETROL
junction box,JB,0,,IfcJunctionBox,IfcJunctionBox,1,IfcJunctionBox,,IfcJunctionBox,
kitchen appliance - blender/smoothie maker,KSMBL,0,,IfcElectricAppliance,IfcElectricAppliance,0,IfcElectricAppliance,,IfcElectricAppliance,
kitchen appliance - bowl blender,KBBL,0,,IfcElectricAppliance,IfcElectricAppliance,0,IfcElectricAppliance,,IfcElectricAppliance,
kitchen appliance - bowl cutter,KBC,0,,IfcElectricAppliance,IfcElectricAppliance,0,IfcElectricAppliance,,IfcElectricAppliance,
kitchen appliance - can opener,KCO,0,,IfcElectricAppliance,IfcElectricAppliance,0,IfcElectricAppliance,,IfcElectricAppliance,
kitchen appliance - crepe and waffle maker,KCWM,0,,IfcElectricAppliance,IfcElectricAppliance,0,IfcElectricAppliance,,IfcElectricAppliance,
kitchen appliance - cutlery dryer,KCDY,0,,IfcElectricAppliance,IfcElectricAppliance,0,IfcElectricAppliance,,IfcElectricAppliance,
kitchen appliance - dough divider/rounder,KDR,0,,IfcElectricAppliance,IfcElectricAppliance,0,IfcElectricAppliance,,IfcElectricAppliance,
kitchen appliance - dough press,KDPR,0,,IfcElectricAppliance,IfcElectricAppliance,0,IfcElectricAppliance,,IfcElectricAppliance,
kitchen appliance - insect trap,KICT,0,,IfcElectricAppliance,IfcElectricAppliance,0,IfcElectricAppliance,,IfcElectricAppliance,
kitchen appliance - juicer,KJC,0,,IfcElectricAppliance,IfcElectricAppliance,0,IfcElectricAppliance,,IfcElectricAppliance,
kitchen appliance - meat bone saw,KMBS,0,,IfcElectricAppliance,IfcElectricAppliance,0,IfcElectricAppliance,,IfcElectricAppliance,
kitchen appliance - meat mincer,KMM,0,,IfcElectricAppliance,IfcElectricAppliance,0,IfcElectricAppliance,,IfcElectricAppliance,
kitchen appliance - meat slicer,KMS,0,,IfcElectricAppliance,IfcElectricAppliance,0,IfcElectricAppliance,,IfcElectricAppliance,
kitchen appliance - microwave oven,CKMWO,0,,IfcElectricApplianceMICROWAVE,IfcElectricApplianceMICROWAVE,0,IfcElectricAppliance,MICROWAVE,IfcElectricAppliance,MICROWAVE
kitchen appliance - mixer,KMIX,0,,IfcElectricAppliance,IfcElectricAppliance,0,IfcElectricAppliance,,IfcElectricAppliance,
kitchen appliance - pacotizing machine,KPM,0,,IfcElectricAppliance,IfcElectricAppliance,0,IfcElectricAppliance,,IfcElectricAppliance,
kitchen appliance - potato peeling machine,KPPM,0,,IfcElectricAppliance,IfcElectricAppliance,0,IfcElectricAppliance,,IfcElectricAppliance,
kitchen appliance - scale,KFS,0,,IfcElectricAppliance,IfcElectricAppliance,0,IfcElectricAppliance,,IfcElectricAppliance,
kitchen appliance - stick blender,KSBL,0,,IfcElectricAppliance,IfcElectricAppliance,0,IfcElectricAppliance,,IfcElectricAppliance,
kitchen appliance - storage rack,KSR,0,,IfcFurnitureSHELF,IfcFurniture,0,IfcFurniture,,IfcFurniture,SHELF
kitchen appliance - toaster,KTST,0,,IfcElectricAppliance,IfcElectricAppliance,0,IfcElectricAppliance,,IfcElectricAppliance,
kitchen appliance - uv knife steralizer,KUVSC,0,,IfcElectricAppliance,IfcElectricAppliance,0,IfcElectricAppliance,,IfcElectricAppliance,
kitchen appliance - vacuum packing machine,KVPM,0,,IfcElectricAppliance,IfcElectricAppliance,0,IfcElectricAppliance,,IfcElectricAppliance,
kitchen appliance - veg cutting machine,KVCM,0,,IfcElectricAppliance,IfcElectricAppliance,0,IfcElectricAppliance,,IfcElectricAppliance,
kitchen appliance - vegetable washer,KVWM,0,,IfcElectricAppliance,IfcElectricAppliance,0,IfcElectricAppliance,,IfcElectricAppliance,
kitchen appliance - vegetable washer and dryer,KVW,0,,IfcElectricAppliance,IfcElectricAppliance,0,IfcElectricAppliance,,IfcElectricAppliance,
kitchen appliance - warming drawer,WDR,0,,IfcElectricApplianceELECTRICCOOKER,IfcElectricApplianceELECTRICCOOKER,0,IfcElectricAppliance,ELECTRICCOOKER,IfcElectricAppliance,ELECTRICCOOKER
kitchen ventilation - condensate hood,KVCH,0,,IfcDamperFUMEHOODEXHAUST,IfcDamperFUMEHOODEXHAUST,0,IfcDamper,FUMEHOODEXHAUST,IfcDamper,FUMEHOODEXHAUST
kitchen ventilation - extraction/exhuast grease hood,KVGH,0,,IfcDamperFUMEHOODEXHAUST,IfcDamperFUMEHOODEXHAUST,0,IfcDamper,FUMEHOODEXHAUST,IfcDamper,FUMEHOODEXHAUST
kitchen ventilation - ventilated ceiling,KVVC,0,,IfcAirTerminalBox,IfcAirTerminalBox,0,IfcAirTerminalBox,,IfcAirTerminalBox,
lighting - control - dimmer,DIM,0,LIGHTING/LCM,IfcSwitchingDeviceDIMMERSWITCH,IfcSwitchingDevice,0,IfcSwitchingDevice,,IfcSwitchingDevice,DIMMERSWITCH
lighting - control - keypad,LKP,1,LIGHTING/LKP,IfcSwitchingDeviceKEYPAD,IfcSwitchingDevice,0,IfcSwitchingDevice,,IfcSwitchingDevice,KEYPAD
lighting - control - module,LCM,1,LIGHTING/LCM,IfcUnitaryControlElement,IfcController,0,IfcController,,IfcUnitaryControlElement,
lighting - control - panel,LCP,1,,IfcUnitaryControlElement,IfcController,0,IfcController,,IfcUnitaryControlElement,
lighting - control - switch,LSW,1,,IfcSwitchingDevice,IfcSwitchingDevice,0,IfcSwitchingDevice,,IfcSwitchingDevice,
lighting - fixture,LT,0,LIGHTING/LT,IfcLightFixture,IfcLightFixture,1,IfcLightFixture,,IfcLightFixture,
lighting - fixture - downlight,DL,1,LIGHTING/LT,IfcLightFixture,IfcLightFixture,0,IfcLightFixture,,IfcLightFixture,
lighting - fixture - illuminated exit sign,EXIT,1,,IfcLightFixtureSECURITYLIGHTING,IfcLightFixture,0,IfcLightFixture,,IfcLightFixture,SECURITYLIGHTING
lighting - fixture - linear,LL,1,LIGHTING/LT,IfcLightFixtureDIRECTIONSOURCE,IfcLightFixtureDIRECTIONSOURCE,0,IfcLightFixture,DIRECTIONSOURCE,IfcLightFixture,DIRECTIONSOURCE
lighting - fixture - linear tape,TL,1,LIGHTING/LT,IfcLightFixtureDIRECTIONSOURCE,IfcLightFixtureDIRECTIONSOURCE,0,IfcLightFixture,DIRECTIONSOURCE,IfcLightFixture,DIRECTIONSOURCE
lighting - fixture - pendant,PL,1,LIGHTING/LT,IfcLightFixturePOINTSOURCE,IfcLightFixturePOINTSOURCE,0,IfcLightFixture,POINTSOURCE,IfcLightFixture,POINTSOURCE
lighting - fixture - spot light,SL,1,LIGHTING/LT,IfcLightFixturePOINTSOURCE,IfcLightFixturePOINTSOURCE,0,IfcLightFixture,POINTSOURCE,IfcLightFixture,POINTSOURCE
lighting - fixture - standalone emergency light,EL,1,LIGHTING/LT,IfcLightFixture,IfcLightFixture,0,IfcLightFixture,,IfcLightFixture,
lighting - fixture - uplight,UL,1,LIGHTING/LT,IfcLightFixture,IfcLightFixture,0,IfcLightFixture,,IfcLightFixture,
lighting - fixture - wall light,WL,1,LIGHTING/LT,IfcLightFixture,IfcLightFixture,0,IfcLightFixture,,IfcLightFixture,
lighting - fixture external - bollard,LBO,1,LIGHTING/LT,IfcLightFixture,IfcLightFixture,0,IfcLightFixture,,IfcLightFixture,
lighting - fixture external - lampost,LPO,1,LIGHTING/LT,IfcLightFixture,IfcLightFixture,0,IfcLightFixture,,IfcLightFixture,
lighting - gateway,LTGW,1,LIGHTING/LTGW,IfcCommunicationsApplianceGATEWAY,IfcElectricAppliance,0,IfcElectricAppliance,,IfcCommunicationsAppliance,GATEWAY
lighting - group,LGRP,1,LIGHTING/LGRP,IfcGroup,IfcGroup,0,IfcGroup,,IfcGroup,
lighting - lamp,LMP,1,,IfcLamp,IfcLamp,1,IfcLamp,,IfcLamp,
lighting - track - electric track for lights,TR,0,LIGHTING/LT,IfcCableSegment,IfcCableSegment,0,IfcCableSegment,,IfcCableSegment,
lightning protection - cast-in-socket,CIS,0,,IfcFastener,IfcFastener,0,IfcFastener,,IfcFastener,
lightning protection - concrete inspection pit,CIP,0,,IfcDistributionChamberElementINSPECTIONPIT,IfcDistributionChamberElementINSPECTIONPIT,1,IfcDistributionChamberElement,INSPECTIONPIT,IfcDistributionChamberElement,INSPECTIONPIT
lightning protection - earthing bar,EBA,0,,IfcCableSegment,IfcCableSegment,0,IfcCableSegment,,IfcCableSegment,
lightning protection - earthing clamp,ECL,0,,IfcFastener,IfcFastener,0,IfcFastener,,IfcFastener,
lightning protection - earthing rod,ERO,0,,IfcCableSegment,IfcCableSegment,0,IfcCableSegment,,IfcCableSegment,
lightning protection - earthing tape,ETA,0,,IfcCableSegment,IfcCableSegment,0,IfcCableSegment,,IfcCableSegment,
liquid terminal,LQT,0,,IfcLiquidTerminal,,1,,,IfcLiquidTerminal,
location services - beacon,LBCN,1,,IfcCommunicationsAppliance,IfcElectricAppliance,0,IfcElectricAppliance,,IfcCommunicationsAppliance,
medical device,MED,1,,IfcMedicalDevice,,1,,,IfcMedicalDevice,
meter,MTR,1,METERS/MTR,IfcFlowMeter,IfcFlowMeter,1,IfcFlowMeter,,IfcFlowMeter,
meter - electric branch meter,EBM,1,METERS/MTR,IfcFlowMeter,IfcFlowMeter,0,IfcFlowMeter,,IfcFlowMeter,
meter - electric meter,EM,1,METERS/EM,IfcFlowMeterENERGYMETER,IfcFlowMeterENERGYMETER,0,IfcFlowMeter,ENERGYMETER,IfcFlowMeter,ENERGYMETER
meter - electric meter (virtual),EMV,0,METERS/EMV,IfcFlowMeter,IfcFlowMeter,0,IfcFlowMeter,,IfcFlowMeter,
meter - flow meter,FM,1,METERS/FM,IfcFlowMeter,IfcFlowMeter,0,IfcFlowMeter,,IfcFlowMeter,
meter - gas meter,GM,1,METERS/GM,IfcFlowMeterGASMETER,IfcFlowMeterGASMETER,0,IfcFlowMeter,GASMETER,IfcFlowMeter,GASMETER
meter - gas meter (virtual),GMV,0,METERS/GMV,IfcFlowMeter,IfcFlowMeter,0,IfcFlowMeter,,IfcFlowMeter,
meter - heat meter,HM,1,METERS/HM,IfcFlowMeter,IfcFlowMeter,0,IfcFlowMeter,,IfcFlowMeter,
meter - heat meter (virtual),HMV,0,METERS/HMV,IfcFlowMeter,IfcFlowMeter,0,IfcFlowMeter,,IfcFlowMeter,
meter - water meter,WM,1,METERS/WM,IfcFlowMeterWATERMETER,IfcFlowMeterWATERMETER,0,IfcFlowMeter,WATERMETER,IfcFlowMeter,WATERMETER
meter - water meter (virtual),WMV,0,METERS/WMV,IfcFlowMeter,IfcFlowMeter,0,IfcFlowMeter,,IfcFlowMeter,
mobile telecommunications appliance,MTA,1,,IfcMobileTelecommunicationsAppliance,,1,,,IfcMobileTelecommunicationsAppliance,
motor connection,MCN,1,,IfcMotorConnection,IfcMotorConnection,1,IfcMotorConnection,,IfcMotorConnection,
motor controller - vsd (inverter drive),VSD,1,,IfcMotorConnection,IfcMotorConnection,0,IfcMotorConnection,,IfcMotorConnection,
natural air ventilator,AVR,1,,IfcStackTerminal,IfcStackTerminal,1,IfcStackTerminal,,IfcStackTerminal,
oil interceptor,OI,0,,IfcInterceptorOIL,IfcWasteTerminalOILINTERCEPTOR,0,IfcWasteTerminal,OILINTERCEPTOR,IfcInterceptor,OIL
outlet,OUT,0,,IfcOutlet,IfcOutlet,1,IfcOutlet,,IfcOutlet,
outlet - ceiling duplex,CGDXO,0,,IfcOutletPOWEROUTLET,IfcOutletPOWEROUTLET,0,IfcOutlet,POWEROUTLET,IfcOutlet,POWEROUTLET
outlet - connection unit switched fused,CUSF,0,,IfcOutletPOWEROUTLET,IfcOutletPOWEROUTLET,0,IfcOutlet,POWEROUTLET,IfcOutlet,POWEROUTLET
outlet - connection unit unswitched fused,CUUF,0,,IfcOutletPOWEROUTLET,IfcOutletPOWEROUTLET,0,IfcOutlet,POWEROUTLET,IfcOutlet,POWEROUTLET
outlet - controlled duplex,CNDO,0,,IfcOutletDATAOUTLET,IfcOutletCOMMUNICATIONSOUTLET,0,IfcOutlet,COMMUNICATIONSOUTLET,IfcOutlet,DATAOUTLET
outlet - data wall outlet,DATA,0,,IfcOutletDATAOUTLET,IfcOutletCOMMUNICATIONSOUTLET,0,IfcOutlet,COMMUNICATIONSOUTLET,IfcOutlet,DATAOUTLET
outlet - double 20A duplex receptacle,DDR,0,,IfcOutletPOWEROUTLET,IfcOutletPOWEROUTLET,0,IfcOutlet,POWEROUTLET,IfcOutlet,POWEROUTLET
outlet - double switched socket outlet,DSSO,0,,IfcOutletPOWEROUTLET,IfcOutletPOWEROUTLET,0,IfcOutlet,POWEROUTLET,IfcOutlet,POWEROUTLET
outlet - double unswitched socket outlet,DSO,0,,IfcOutletPOWEROUTLET,IfcOutletPOWEROUTLET,0,IfcOutlet,POWEROUTLET,IfcOutlet,POWEROUTLET
outlet - duplex outlets,DXO,0,,IfcOutletPOWEROUTLET,IfcOutletPOWEROUTLET,0,IfcOutlet,POWEROUTLET,IfcOutlet,POWEROUTLET
outlet - floor box,FLRB,0,,IfcOutlet,IfcOutlet,0,IfcOutlet,,IfcOutlet,
outlet - floor duplex outlet,FLRDX,0,,IfcOutletDATAOUTLET,IfcOutletCOMMUNICATIONSOUTLET,0,IfcOutlet,COMMUNICATIONSOUTLET,IfcOutlet,DATAOUTLET
outlet - floor quad outlet,FLRQD,0,,IfcOutletDATAOUTLET,IfcOutletCOMMUNICATIONSOUTLET,0,IfcOutlet,COMMUNICATIONSOUTLET,IfcOutlet,DATAOUTLET
outlet - industrial (commando) socket outlet,INSO,0,,IfcOutletPOWEROUTLET,IfcOutletPOWEROUTLET,0,IfcOutlet,POWEROUTLET,IfcOutlet,POWEROUTLET
outlet - linear electric receptacle,LER,0,,IfcOutlet,IfcOutlet,0,IfcOutlet,,IfcOutlet,
outlet - single switched socket outlet,SSSO,0,,IfcOutletPOWEROUTLET,IfcOutletPOWEROUTLET,0,IfcOutlet,POWEROUTLET,IfcOutlet,POWEROUTLET
outlet - single unswitched socket outlet,SSO,0,,IfcOutletPOWEROUTLET,IfcOutletPOWEROUTLET,0,IfcOutlet,POWEROUTLET,IfcOutlet,POWEROUTLET
panel - alarm panel,AP,1,,IfcUnitaryControlElementALARMPANEL,IfcElectricDistributionPointALARMPANEL,0,IfcElectricDistributionPoint,ALARMPANEL,IfcUnitaryControlElement,ALARMPANEL
panel - chemical treatment control panel,CTCP,1,,IfcUnitaryControlElement,IfcController,0,IfcController,,IfcUnitaryControlElement,
panel - control panel,CTRP,1,,IfcUnitaryControlElementCONTROLPANEL,IfcElectricDistributionPointCONTROLPANEL,0,IfcElectricDistributionPoint,CONTROLPANEL,IfcUnitaryControlElement,CONTROLPANEL
panel - fire alarm control panel,FACP,1,SAFETY/FACP,IfcUnitaryControlElement,IfcElectricDistributionPointCONTROLPANEL,0,IfcElectricDistributionPoint,CONTROLPANEL,IfcUnitaryControlElement,
panel - gas booster control panel,GBCP,1,,IfcUnitaryControlElementCONTROLPANEL,IfcElectricDistributionPointCONTROLPANEL,0,IfcElectricDistributionPoint,CONTROLPANEL,IfcUnitaryControlElement,CONTROLPANEL
panel - gas detection panel,GASDET,1,,IfcUnitaryControlElementGASDETECTIONPANEL,IfcElectricDistributionPointGASDETECTORPANEL,0,IfcElectricDistributionPoint,GASDETECTORPANEL,IfcUnitaryControlElement,GASDETECTIONPANEL
panel - generator control panel,GENCP,1,,IfcUnitaryControlElementCONTROLPANEL,IfcElectricDistributionPointCONTROLPANEL,0,IfcElectricDistributionPoint,CONTROLPANEL,IfcUnitaryControlElement,CONTROLPANEL
panel - greywater control panel,GWCP,1,,IfcUnitaryControlElementCONTROLPANEL,IfcElectricDistributionPointCONTROLPANEL,0,IfcElectricDistributionPoint,CONTROLPANEL,IfcUnitaryControlElement,CONTROLPANEL
panel - hvac control panel,HVACCP,1,,IfcUnitaryControlElementCONTROLPANEL,IfcElectricDistributionPointCONTROLPANEL,0,IfcElectricDistributionPoint,CONTROLPANEL,IfcUnitaryControlElement,CONTROLPANEL
panel - leak detection panel,LDP,1,,IfcUnitaryControlElementCONTROLPANEL,IfcElectricDistributionPointCONTROLPANEL,0,IfcElectricDistributionPoint,CONTROLPANEL,IfcUnitaryControlElement,CONTROLPANEL
panel - motor control center,MCC,1,,IfcUnitaryControlElement,IfcController,0,IfcController,,IfcUnitaryControlElement,
panel - remote i/o control panel,RIO,1,,IfcUnitaryControlElement,IfcElectricDistributionPointCONTROLPANEL,0,IfcElectricDistributionPoint,CONTROLPANEL,IfcUnitaryControlElement,
panel - rodent repellent panel,RDT,1,,IfcUnitaryControlElementCONTROLPANEL,IfcElectricDistributionPointCONTROLPANEL,0,IfcElectricDistributionPoint,CONTROLPANEL,IfcUnitaryControlElement,CONTROLPANEL
panel - variable air volume control station / panel,VAVCTR,1,,IfcUnitaryControlElement,IfcController,0,IfcController,,IfcUnitaryControlElement,
pipe fitting,PFT,0,,IfcPipeFitting,IfcPipeFitting,1,IfcPipeFitting,,IfcPipeFitting,
plate,PLT,0,,IfcPlate,IfcPlate,1,IfcPlate,,IfcPlate,
pressurisation unit,PU,1,,IfcUnitaryEquipment,IfcUnitaryEquipment,0,IfcUnitaryEquipment,,IfcUnitaryEquipment,
pressurisation unit - water system makeup unit,WMS,1,,IfcUnitaryEquipment,IfcUnitaryEquipment,0,IfcUnitaryEquipment,,IfcUnitaryEquipment,
pump,PMP,1,HVAC/PMP,IfcPump,IfcPump,1,IfcPump,,IfcPump,
pump - automatic condensate pump,CNP,1,HVAC/PMP,IfcPump,IfcPump,0,IfcPump,,IfcPump,
pump - auxilliary process cooling water pump,AXCWP,1,HVAC/PMP,IfcPump,IfcPump,0,IfcPump,,IfcPump,
pump - booster pump,BSP,1,HVAC/PMP,IfcPump,IfcPump,0,IfcPump,,IfcPump,
pump - chilled water pump,CHWP,1,HVAC/PMP,IfcPump,IfcPump,0,IfcPump,,IfcPump,
pump - circulating pump,CP,1,HVAC/PMP,IfcPumpCIRCULATOR,IfcPumpCIRCULATOR,0,IfcPump,CIRCULATOR,IfcPump,CIRCULATOR
pump - condenser water pump,CDWP,1,HVAC/PMP,IfcPump,IfcPump,0,IfcPump,,IfcPump,
pump - cooling tower separator pump,CTSEPP,1,HVAC/PMP,IfcPump,IfcPump,0,IfcPump,,IfcPump,
pump - domestic hot water circulation pump,DHWP,1,HVAC/PMP,IfcPump,IfcPump,0,IfcPump,,IfcPump,
pump - dosing pump,DP,1,HVAC/PMP,IfcPump,IfcPump,0,IfcPump,,IfcPump,
pump - fire hydrant pump,FHP,1,HVAC/PMP,IfcPump,IfcPump,0,IfcPump,,IfcPump,
pump - fuel oil pump,FOP,1,HVAC/PMP,IfcPump,IfcPump,0,IfcPump,,IfcPump,
pump - gas booster pump,GBP,1,HVAC/PMP,IfcPump,IfcPump,0,IfcPump,,IfcPump,
pump - greywater booster pump,GWBP,1,HVAC/PMP,IfcPump,IfcPump,0,IfcPump,,IfcPump,
pump - heat exchanger pump,HXP,1,HVAC/PMP,IfcPump,IfcPump,0,IfcPump,,IfcPump,
pump - high temperature chilled water pump,HTCHP,1,HVAC/PMP,IfcPump,IfcPump,0,IfcPump,,IfcPump,
pump - high temperature condenser water pump,HTCWP,1,HVAC/PMP,IfcPump,IfcPump,0,IfcPump,,IfcPump,
pump - hot water pump,HWP,1,HVAC/PMP,IfcPump,IfcPump,0,IfcPump,,IfcPump,
pump - low temperature chilled water pump,LTCHWP,1,HVAC/PMP,IfcPump,IfcPump,0,IfcPump,,IfcPump,
pump - low temperature condenser water pump,LTCDWP,1,HVAC/PMP,IfcPump,IfcPump,0,IfcPump,,IfcPump,
pump - low temperature hot water pump,LTHWP,1,HVAC/PMP,IfcPump,IfcPump,0,IfcPump,,IfcPump,
pump - packaged pump set,PAPS,1,HVAC/PMP,IfcPump,IfcPump,0,IfcPump,,IfcPump,
pump - potable/domestic water booster pump,DWBP,1,HVAC/PMP,IfcPump,IfcPump,0,IfcPump,,IfcPump,
pump - potable/domestic water transfer pump,DWTP,1,HVAC/PMP,IfcPump,IfcPump,0,IfcPump,,IfcPump,
pump - primary chilled water pump,PCHWP,1,HVAC/PMP,IfcPump,IfcPump,0,IfcPump,,IfcPump,
pump - primary low temperature hot water pump,PLTHWP,1,HVAC/PMP,IfcPump,IfcPump,0,IfcPump,,IfcPump,
pump - primary pump,PP,1,HVAC/PMP,IfcPump,IfcPump,0,IfcPump,,IfcPump,
pump - process cooling water pump,PCWP,1,HVAC/PMP,IfcPump,IfcPump,0,IfcPump,,IfcPump,
pump - process water pump,PWP,1,HVAC/PMP,IfcPump,IfcPump,0,IfcPump,,IfcPump,
pump - rainwater booster pump,RNWBP,1,HVAC/PMP,IfcPump,IfcPump,0,IfcPump,,IfcPump,
pump - rainwater pump,RNWP,1,HVAC/PMP,IfcPump,IfcPump,0,IfcPump,,IfcPump,
pump - recirculation pump,RCP,1,HVAC/PMP,IfcPump,IfcPump,0,IfcPump,,IfcPump,
pump - recycled water pump,RWP,1,HVAC/PMP,IfcPump,IfcPump,0,IfcPump,,IfcPump,
pump - secondary chilled water pump,SCHWP,1,HVAC/PMP,IfcPump,IfcPump,0,IfcPump,,IfcPump,
pump - secondary heating circulation pump,SHCP,1,HVAC/PMP,IfcPump,IfcPump,0,IfcPump,,IfcPump,
pump - secondary hot water circulating pump,SHWP,1,HVAC/PMP,IfcPump,IfcPump,0,IfcPump,,IfcPump,
pump - secondary low temperature hot water pump,SLTHWP,1,HVAC/PMP,IfcPump,IfcPump,0,IfcPump,,IfcPump,
pump - secondary pump,SP,1,HVAC/PMP,IfcPump,IfcPump,0,IfcPump,,IfcPump,
pump - separator pump,SEPP,1,HVAC/PMP,IfcPump,IfcPump,0,IfcPump,,IfcPump,
pump - sewage ejector pump,SEP,1,HVAC/PMP,IfcPump,IfcPump,0,IfcPump,,IfcPump,
pump - sprinkler pump,SPP,1,HVAC/PMP,IfcPump,IfcPump,0,IfcPump,,IfcPump,
pump - sump pump,SMPP,1,HVAC/PMP,IfcPumpSUMPPUMP,IfcPump,0,IfcPump,,IfcPump,SUMPPUMP
pump - tower make up pump,TMUP,1,HVAC/PMP,IfcPump,IfcPump,0,IfcPump,,IfcPump,
pump - tower make up valve,TMUV,1,HVAC/PMP,IfcValve,IfcValve,0,IfcValve,,IfcValve,
pump - transfer pump,TRP,1,HVAC/PMP,IfcPump,IfcPump,0,IfcPump,,IfcPump,
pump - vacuum pump,VCP,1,HVAC/PMP,IfcPump,IfcPump,0,IfcPump,,IfcPump,
pump - waste water pump,WWP,1,HVAC/PMP,IfcPump,IfcPump,0,IfcPump,,IfcPump,
pump - wet riser pump,WRP,1,HVAC/PMP,IfcPump,IfcPump,0,IfcPump,,IfcPump,
pv ac disconnect,PVACDS,0,,IfcSwitchingDeviceSWITCHDISCONNECTOR,IfcSwitchingDeviceSWITCHDISCONNECTOR,0,IfcSwitchingDevice,SWITCHDISCONNECTOR,IfcSwitchingDevice,SWITCHDISCONNECTOR
pv data acquisition system,PVDAS,1,,IfcController,IfcController,0,IfcController,,IfcController,
pv dc combiner,PVDCC,0,,IfcDistributionBoard,IfcElectricDistributionPointDISTRIBUTIONBOARD,0,IfcElectricDistributionPoint,DISTRIBUTIONBOARD,IfcDistributionBoard,
pv dc disconnect,PVDCDS,0,,IfcSwitchingDeviceSWITCHDISCONNECTOR,IfcSwitchingDeviceSWITCHDISCONNECTOR,0,IfcSwitchingDevice,SWITCHDISCONNECTOR,IfcSwitchingDevice,SWITCHDISCONNECTOR
pv distribution board,PVDB,1,,IfcDistributionBoard,IfcElectricDistributionPointDISTRIBUTIONBOARD,0,IfcElectricDistributionPoint,DISTRIBUTIONBOARD,IfcDistributionBoard,
pv inverter,PVI,1,,IfcTransformerINVERTER,IfcTransformer,0,IfcTransformer,,IfcTransformer,INVERTER
pv microgrid controller,PVMC,1,,IfcController,IfcController,0,IfcController,,IfcController,
pv module-level power electronics,PVMLPE,0,,IfcController,IfcController,0,IfcController,,IfcController,
pv panel,PVP,1,,IfcSolarDeviceSOLARPANEL,IfcDiscreteAccessory,0,IfcDiscreteAccessory,,IfcSolarDevice,SOLARPANEL
pv transformer,PVTXMR,1,,IfcTransformer,IfcTransformer,0,IfcTransformer,,IfcTransformer,
radiant surface - chilled beam,CHB,0,,IfcCooledBeam,IfcCooledBeam,1,IfcCooledBeam,,IfcCooledBeam,
radiant surface - chilled beam - active,ACHB,1,,IfcCooledBeamACTIVE,IfcCooledBeamACTIVE,0,IfcCooledBeam,ACTIVE,IfcCooledBeam,ACTIVE
radiant surface - chilled beam - passive,PCHB,1,,IfcCooledBeamPASSIVE,IfcCooledBeamPASSIVE,0,IfcCooledBeam,PASSIVE,IfcCooledBeam,PASSIVE
radiant surface - chilled ceiling,CCH,1,,IfcSpaceHeater,IfcSpaceHeater,0,IfcSpaceHeater,,IfcSpaceHeater,
radiant surface - hot water beam,HTB,0,,IfcSpaceHeaterRADIATOR,IfcSpaceHeater,0,IfcSpaceHeater,,IfcSpaceHeater,RADIATOR
refrigeration - blast chiller/freezer,FRZBCF,0,,IfcElectricApplianceFREEZER,IfcElectricApplianceFREEZER,0,IfcElectricAppliance,FREEZER,IfcElectricAppliance,FREEZER
refrigeration - coldroom freezer,CRFRZ,0,,IfcElectricApplianceFREEZER,IfcElectricApplianceFREEZER,0,IfcElectricAppliance,FREEZER,IfcElectricAppliance,FREEZER
refrigeration - coldroom hardware/plant,CRHW,0,,IfcElectricApplianceREFRIGERATOR,IfcElectricApplianceREFRIGERATOR,0,IfcElectricAppliance,REFRIGERATOR,IfcElectricAppliance,REFRIGERATOR
refrigeration - coldroom refrigerated,CRREF,0,,IfcElectricApplianceREFRIGERATOR,IfcElectricApplianceREFRIGERATOR,0,IfcElectricAppliance,REFRIGERATOR,IfcElectricAppliance,REFRIGERATOR
