asset_description,asset_abbreviation,can_be_connected,dbo_entity_type,ifc4_3,ifc2x3,is_ifc_default,ifc2x3_entity,ifc2x3_predefined_type,ifc4_3_entity,ifc4_3_predefined_type
distribution - system,DSYS,0,,IfcDistributionSystem,,1,,,IfcDistributionSystem,
distribution data - coaxial cable,COAXCA,0,,IfcCableSegment,IfcCableSegment,0,IfcCableSegment,,IfcCableSegment,
distribution data - data cable,DCA,0,,IfcCableSegment,IfcCableSegment,0,IfcCableSegment,,IfcCableSegment,
distribution electric - EVC electric vehicle charging distribution panel,EVDP,1,ELECTRICAL/PANEL,IfcDistributionBoard,IfcElectricDistributionPointDISTRIBUTIONBOARD,0,IfcElectricDistributionPoint,DISTRIBUTIONBOARD,IfcDistributionBoard,
distribution electric - EVC electric vehicle charging equipment,EVCE,1,,IfcOutletPOWEROUTLET,IfcOutletPOWEROUTLET,0,IfcOutlet,POWEROUTLET,IfcOutlet,POWEROUTLET
distribution electric - active harmonic filter,AHF,1,,IfcElectricFlowStorageDeviceHARMONICFILTER,IfcElectricFlowStorageDeviceHARMONICFILTER,0,IfcElectricFlowStorageDevice,HARMONICFILTER,IfcElectricFlowStorageDevice,HARMONICFILTER
distribution electric - automatic transfer switch,ATS,1,,IfcProtectiveDevice,IfcProtectiveDevice,0,IfcProtectiveDevice,,IfcProtectiveDevice,
distribution electric - branch circuit panel board 120/208V,LVCPB,0,ELECTRICAL/PANEL,IfcDistributionBoard,IfcElectricDistributionPointDISTRIBUTIONBOARD,0,IfcElectricDistributionPoint,DISTRIBUTIONBOARD,IfcDistributionBoard,
distribution electric - branch circuit panel board 277/480V,HVCPB,0,ELECTRICAL/PANEL,IfcDistributionBoard,IfcElectricDistributionPointDISTRIBUTIONBOARD,0,IfcElectricDistributionPoint,DISTRIBUTIONBOARD,IfcDistributionBoard,
distribution electric - busbar,BB,0,,IfcCableSegmentBUSBARSEGMENT,IfcCableSegment,0,IfcCableSegment,,IfcCableSegment,BUSBARSEGMENT
distribution electric - busbar tapoff,BBTO,0,,IfcCableSegmentBUSBARSEGMENT,IfcCableSegment,0,IfcCableSegment,,IfcCableSegment,BUSBARSEGMENT
distribution electric - cable,CA,0,,IfcCableSegment,IfcCableSegment,1,IfcCableSegment,,IfcCableSegment,
distribution electric - dc-dc converter,DCDC,0,,IfcTransformer,IfcTransformer,0,IfcTransformer,,IfcTransformer,
distribution electric - distribution panel / board,DB,1,ELECTRICAL/PANEL,IfcDistributionBoard,IfcElectricDistributionPointDISTRIBUTIONBOARD,1,IfcElectricDistributionPoint,DISTRIBUTIONBOARD,IfcDistributionBoard,
distribution electric - distribution panel / board - consumer unit,CU,1,ELECTRICAL/PANEL,IfcDistributionBoardCONSUMERUNIT,IfcElectricDistributionPointDISTRIBUTIONBOARD,0,IfcElectricDistributionPoint,DISTRIBUTIONBOARD,IfcDistributionBoard,CONSUMERUNIT
distribution electric - distribution panel 120/208V,LVDP,1,ELECTRICAL/PANEL,IfcDistributionBoardDISTRIBUTIONBOARD,IfcElectricDistributionPointDISTRIBUTIONBOARD,0,IfcElectricDistributionPoint,DISTRIBUTIONBOARD,IfcDistributionBoard,DISTRIBUTIONBOARD
distribution electric - distribution panel 277/480V,HVDP,1,ELECTRICAL/PANEL,IfcDistributionBoardDISTRIBUTIONBOARD,IfcElectricDistributionPointDISTRIBUTIONBOARD,0,IfcElectricDistributionPoint,DISTRIBUTIONBOARD,IfcDistributionBoard,DISTRIBUTIONBOARD
distribution electric - distribution panel for itc equipment,ITDP,1,ELECTRICAL/PANEL,IfcDistributionBoard,IfcElectricDistributionPointDISTRIBUTIONBOARD,0,IfcElectricDistributionPoint,DISTRIBUTIONBOARD,IfcDistributionBoard,
distribution electric - electric switch,ELSW,1,,IfcSwitchingDeviceTOGGLESWITCH,IfcSwitchingDeviceTOGGLESWITCH,0,IfcSwitchingDevice,TOGGLESWITCH,IfcSwitchingDevice,TOGGLESWITCH
distribution electric - fire rated cable,FCA,0,,IfcCableSegment,IfcCableSegment,0,IfcCableSegment,,IfcCableSegment,
